Sr. No.,Year ,Location,Row,Range,Rep,UniqueID,HSF,Accn,OriginalAccn,Ecotype,Yield,Notes,Whole Harvest
1497,2022,Athens,Row38,Range17,Rep2,B-8-5-1,Fam_175,FID_697,J008.D,Lowland,777,,
1498,2022,Athens,Row38,Range18,Rep2,B-8-5-2,Fam_175,FID_698,J008.D,Lowland,267,,
1499,2022,Athens,Row38,Range19,Rep2,B-8-5-3,Fam_175,FID_699,J008.D,Lowland,1127,,
1500,2022,Athens,Row38,Range20,Rep2,B-8-5-4,Fam_175,FID_700,J008.D,Lowland,691,,
1501,2022,Athens,Row38,Range21,Rep2,B-8-6-1,Fam_176,FID_701,J321.A,Lowland,819,,
1502,2022,Athens,Row38,Range22,Rep2,B-8-6-2,Fam_176,FID_702,J321.A,Lowland,1005,,
1503,2022,Athens,Row38,Range23,Rep2,B-8-6-3,Fam_176,FID_703,J321.A,Lowland,468,,
1504,2022,Athens,Row38,Range24,Rep2,B-8-6-4,Fam_176,FID_704,J321.A,Lowland,1207,,
1505,2022,Athens,Row38,Range25,Rep2,B-8-7-1,Fam_177,FID_705,J463.A,Coastal,947,,
1506,2022,Athens,Row38,Range26,Rep2,B-8-7-2,Fam_177,FID_706,J463.A,Coastal,495,,
1507,2022,Athens,Row38,Range27,Rep2,B-8-7-3,Fam_177,FID_707,J463.A,Coastal,963,,
1508,2022,Athens,Row38,Range28,Rep2,B-8-7-4,Fam_177,FID_708,J463.A,Coastal,955,,
1509,2022,Athens,Row38,Range29,Rep2,B-8-8-1,Fam_178,FID_709,J041.A,Lowland,1693,,
1510,2022,Athens,Row38,Range30,Rep2,B-8-8-2,Fam_178,FID_710,J041.A,Lowland,359,,
1511,2022,Athens,Row38,Range31,Rep2,B-8-8-3,Fam_178,FID_711,J041.A,Lowland,668,,
1512,2022,Athens,Row38,Range32,Rep2,B-8-8-4,Fam_178,FID_712,J041.A,Lowland,317,,
1513,2022,Athens,Row38,Range33,Rep2,B-8-9-1,Fam_179,FID_713,J288.B,Unknown,707,,
1514,2022,Athens,Row38,Range34,Rep2,B-8-9-2,Fam_179,FID_714,J288.B,Unknown,472,,
1515,2022,Athens,Row38,Range35,Rep2,B-8-9-3,Fam_179,FID_715,J288.B,Unknown,425,,
1516,2022,Athens,Row38,Range36,Rep2,B-8-9-4,Fam_179,FID_716,J288.B,Unknown,405,,
1517,2022,Athens,Row38,Range37,Rep2,B-8-10-1,Fam_180,FID_717,J019.A,Coastal,629,,
1518,2022,Athens,Row38,Range38,Rep2,B-8-10-2,Fam_180,FID_718,J019.A,Coastal,408,,
1519,2022,Athens,Row38,Range39,Rep2,B-8-10-3,Fam_180,FID_719,J019.A,Coastal,812,,
1520,2022,Athens,Row38,Range40,Rep2,B-8-10-4,Fam_180,FID_720,J019.A,Coastal,479,,
1521,2022,Athens,Row39,Range1,Rep2,B-9-1-1,Fam_181,FID_721,J271.A,Lowland,867,,
1522,2022,Athens,Row39,Range2,Rep2,B-9-1-2,Fam_181,FID_722,J271.A,Lowland,427,,
1523,2022,Athens,Row39,Range3,Rep2,B-9-1-3,Fam_181,FID_723,J271.A,Lowland,432,,
1524,2022,Athens,Row39,Range4,Rep2,B-9-1-4,Fam_181,FID_724,J271.A,Lowland,1010,,
1525,2022,Athens,Row39,Range5,Rep2,B-9-2-1,Fam_182,FID_725,J326.A,Coastal,780,,
1526,2022,Athens,Row39,Range6,Rep2,B-9-2-2,Fam_182,FID_726,J326.A,Coastal,1161,,
1527,2022,Athens,Row39,Range7,Rep2,B-9-2-3,Fam_182,FID_727,J326.A,Coastal,1102,,
1528,2022,Athens,Row39,Range8,Rep2,B-9-2-4,Fam_182,FID_728,J326.A,Coastal,730,,
1529,2022,Athens,Row39,Range9,Rep2,B-9-3-1,Fam_183,FID_729,J019.A,Coastal,1066,,
1530,2022,Athens,Row39,Range10,Rep2,B-9-3-2,Fam_183,FID_730,J019.A,Coastal,434,,
1531,2022,Athens,Row39,Range11,Rep2,B-9-3-3,Fam_183,FID_731,J019.A,Coastal,227,,
1532,2022,Athens,Row39,Range12,Rep2,B-9-3-4,Fam_183,FID_732,J019.A,Coastal,306,,
1533,2022,Athens,Row39,Range13,Rep2,B-9-4-1,Fam_184,FID_733,J005.A,Lowland,396,,
1534,2022,Athens,Row39,Range14,Rep2,B-9-4-2,Fam_184,FID_734,J005.A,Lowland,230,,
1535,2022,Athens,Row39,Range15,Rep2,B-9-4-3,Fam_184,FID_735,J005.A,Lowland,665,,
1536,2022,Athens,Row39,Range16,Rep2,B-9-4-4,Fam_184,FID_736,J005.A,Lowland,55,,
1537,2022,Athens,Row39,Range17,Rep2,B-9-5-1,Fam_185,FID_737,J288.B,Unknown,73,,
1538,2022,Athens,Row39,Range18,Rep2,B-9-5-2,Fam_185,FID_738,J288.B,Unknown,164,,
1539,2022,Athens,Row39,Range19,Rep2,B-9-5-3,Fam_185,FID_739,J288.B,Unknown,195,,
1540,2022,Athens,Row39,Range20,Rep2,B-9-5-4,Fam_185,FID_740,J288.B,Unknown,332,,
1541,2022,Athens,Row39,Range21,Rep2,B-9-6-1,Fam_186,FID_741,J218.A,Lowland,613,,
1542,2022,Athens,Row39,Range22,Rep2,B-9-6-2,Fam_186,FID_742,J218.A,Lowland,282,,
1543,2022,Athens,Row39,Range23,Rep2,B-9-6-3,Fam_186,FID_743,J218.A,Lowland,437,,
1544,2022,Athens,Row39,Range24,Rep2,B-9-6-4,Fam_186,FID_744,J218.A,Lowland,627,,
1545,2022,Athens,Row39,Range25,Rep2,B-9-7-1,Fam_187,FID_745,J226.A,Lowland,625,,
1546,2022,Athens,Row39,Range26,Rep2,B-9-7-2,Fam_187,FID_746,J226.A,Lowland,366,,
1547,2022,Athens,Row39,Range27,Rep2,B-9-7-3,Fam_187,FID_747,J226.A,Lowland,691,,
1548,2022,Athens,Row39,Range28,Rep2,B-9-7-4,Fam_187,FID_748,J226.A,Lowland,336,,
1549,2022,Athens,Row39,Range29,Rep2,B-9-8-1,Fam_188,FID_749,J652.A,Lowland,388,,
1550,2022,Athens,Row39,Range30,Rep2,B-9-8-2,Fam_188,FID_750,J652.A,Lowland,935,,
1551,2022,Athens,Row39,Range31,Rep2,B-9-8-3,Fam_188,FID_751,J652.A,Lowland,191,,
1552,2022,Athens,Row39,Range32,Rep2,B-9-8-4,Fam_188,FID_752,J652.A,Lowland,633,,
1553,2022,Athens,Row39,Range33,Rep2,B-9-9-1,Fam_189,FID_753,J008.D,Lowland,576,,
1554,2022,Athens,Row39,Range34,Rep2,B-9-9-2,Fam_189,FID_754,J008.D,Lowland,393,,
1555,2022,Athens,Row39,Range35,Rep2,B-9-9-3,Fam_189,FID_755,J008.D,Lowland,931,,
1556,2022,Athens,Row39,Range36,Rep2,B-9-9-4,Fam_189,FID_756,J008.D,Lowland,1059,,
1557,2022,Athens,Row39,Range37,Rep2,B-9-10-1,Fam_190,FID_757,J235.A,Lowland,976,,
1558,2022,Athens,Row39,Range38,Rep2,B-9-10-2,Fam_190,FID_758,J235.A,Lowland,625,,
1559,2022,Athens,Row39,Range39,Rep2,B-9-10-3,Fam_190,FID_759,J235.A,Lowland,914,,
1560,2022,Athens,Row39,Range40,Rep2,B-9-10-4,Fam_190,FID_760,J235.A,Lowland,734,,
1561,2022,Athens,Row40,Range1,Rep2,B-10-1-1,Fam_191,FID_761,J456.A,Coastal,1129,,
1562,2022,Athens,Row40,Range2,Rep2,B-10-1-2,Fam_191,FID_762,J456.A,Coastal,1066,,
1563,2022,Athens,Row40,Range3,Rep2,B-10-1-3,Fam_191,FID_763,J456.A,Coastal,814,,
1564,2022,Athens,Row40,Range4,Rep2,B-10-1-4,Fam_191,FID_764,J456.A,Coastal,1026,,
1565,2022,Athens,Row40,Range5,Rep2,B-10-2-1,Fam_192,FID_765,J321.A,Lowland,800,,
1566,2022,Athens,Row40,Range6,Rep2,B-10-2-2,Fam_192,FID_766,J321.A,Lowland,921,,
1567,2022,Athens,Row40,Range7,Rep2,B-10-2-3,Fam_192,FID_767,J321.A,Lowland,915,,
1568,2022,Athens,Row40,Range8,Rep2,B-10-2-4,Fam_192,FID_768,J321.A,Lowland,763,,
1569,2022,Athens,Row40,Range9,Rep2,B-10-3-1,Fam_193,FID_769,J237.A,Lowland,646,,
1570,2022,Athens,Row40,Range10,Rep2,B-10-3-2,Fam_193,FID_770,J237.A,Lowland,882,,
1571,2022,Athens,Row40,Range11,Rep2,B-10-3-3,Fam_193,FID_771,J237.A,Lowland,,Dead,
1572,2022,Athens,Row40,Range12,Rep2,B-10-3-4,Fam_193,FID_772,J237.A,Lowland,419,,
1573,2022,Athens,Row40,Range13,Rep2,C-25-5-1,Fam_194,FID_773,J004.B,Lowland,947,,
1574,2022,Athens,Row40,Range14,Rep2,C-25-5-2,Fam_194,FID_774,J004.B,Lowland,799,,
1575,2022,Athens,Row40,Range15,Rep2,C-25-5-3,Fam_194,FID_775,J004.B,Lowland,480,,
1576,2022,Athens,Row40,Range16,Rep2,C-25-5-4,Fam_194,FID_776,J004.B,Lowland,869,,
1577,2022,Athens,Row40,Range17,Rep2,B-10-5-1,Fam_195,FID_777,J235.A,Lowland,56,,
1578,2022,Athens,Row40,Range18,Rep2,B-10-5-2,Fam_195,FID_778,J235.A,Lowland,117,,
1579,2022,Athens,Row40,Range19,Rep2,B-10-5-3,Fam_195,FID_779,J235.A,Lowland,135,,
1580,2022,Athens,Row40,Range20,Rep2,B-10-5-4,Fam_195,FID_780,J235.A,Lowland,86,,
1581,2022,Athens,Row40,Range21,Rep2,B-10-6-1,Fam_196,FID_781,J312.A,Unknown,1925,,
1582,2022,Athens,Row40,Range22,Rep2,B-10-6-2,Fam_196,FID_782,J312.A,Unknown,2112,,
1583,2022,Athens,Row40,Range23,Rep2,B-10-6-3,Fam_196,FID_783,J312.A,Unknown,49,,
1584,2022,Athens,Row40,Range24,Rep2,B-10-6-4,Fam_196,FID_784,J312.A,Unknown,1442,,
1585,2022,Athens,Row40,Range25,Rep2,B-10-7-1,Fam_197,FID_785,J319.A,Lowland,704,,
1586,2022,Athens,Row40,Range26,Rep2,B-10-7-2,Fam_197,FID_786,J319.A,Lowland,1300,,
1587,2022,Athens,Row40,Range27,Rep2,B-10-7-3,Fam_197,FID_787,J319.A,Lowland,837,,
1588,2022,Athens,Row40,Range28,Rep2,B-10-7-4,Fam_197,FID_788,J319.A,Lowland,490,,
1589,2022,Athens,Row40,Range29,Rep2,B-10-8-1,Fam_198,FID_789,J005.A,Lowland,546,,
1590,2022,Athens,Row40,Range30,Rep2,B-10-8-2,Fam_198,FID_790,J005.A,Lowland,477,,
1591,2022,Athens,Row40,Range31,Rep2,B-10-8-3,Fam_198,FID_791,J005.A,Lowland,302,,
1592,2022,Athens,Row40,Range32,Rep2,B-10-8-4,Fam_198,FID_792,J005.A,Lowland,56,,
1593,2022,Athens,Row40,Range33,Rep2,B-10-9-1,Fam_199,FID_793,J280.A,Lowland,484,,
1594,2022,Athens,Row40,Range34,Rep2,B-10-9-2,Fam_199,FID_794,J280.A,Lowland,1026,,
1595,2022,Athens,Row40,Range35,Rep2,B-10-9-3,Fam_199,FID_795,J280.A,Lowland,945,,
1596,2022,Athens,Row40,Range36,Rep2,B-10-9-4,Fam_199,FID_796,J280.A,Lowland,1049,,
1597,2022,Athens,Row40,Range37,Rep2,B-10-10-1,Fam_200,FID_797,J222.A,Lowland,955,,
1598,2022,Athens,Row40,Range38,Rep2,B-10-10-2,Fam_200,FID_798,J222.A,Lowland,949,,
1599,2022,Athens,Row40,Range39,Rep2,B-10-10-3,Fam_200,FID_799,J222.A,Lowland,432,,
1600,2022,Athens,Row40,Range40,Rep2,B-10-10-4,Fam_200,FID_800,J222.A,Lowland,2015,,
1601,2022,Tifton,Row1,Rnge1,Rep1,A-1-1-1,Fam_1,FID_1,TCL-7,Unknown,2511,,
1602,2022,Tifton,Row1,Rnge2,Rep1,A-1-1-2,Fam_1,FID_2,TCL-7,Unknown,2099,,
1603,2022,Tifton,Row1,Rnge3,Rep1,A-1-1-3,Fam_1,FID_3,TCL-7,Unknown,2129,,
1604,2022,Tifton,Row1,Rnge4,Rep1,A-1-1-4,Fam_1,FID_4,TCL-7,Unknown,1815,,
1605,2022,Tifton,Row1,Rnge5,Rep1,A-1-2-1,Fam_2,FID_5,J249.C,Lowland,1110,,
1606,2022,Tifton,Row1,Rnge6,Rep1,A-1-2-2,Fam_2,FID_6,J249.C,Lowland,1643,,
1607,2022,Tifton,Row1,Rnge7,Rep1,A-1-2-3,Fam_2,FID_7,J249.C,Lowland,2254,,
1608,2022,Tifton,Row1,Rnge8,Rep1,A-1-2-4,Fam_2,FID_8,J249.C,Lowland,1178,,
1609,2022,Tifton,Row1,Rnge9,Rep1,A-1-3-1,Fam_3,FID_9,J247.A,Lowland,1479,,
1610,2022,Tifton,Row1,Rnge10,Rep1,A-1-3-2,Fam_3,FID_10,J247.A,Lowland,941,,
1611,2022,Tifton,Row1,Rnge11,Rep1,A-1-3-3,Fam_3,FID_11,J247.A,Lowland,1939,,
1612,2022,Tifton,Row1,Rnge12,Rep1,A-1-3-4,Fam_3,FID_12,J247.A,Lowland,1486,,
1613,2022,Tifton,Row1,Rnge13,Rep1,A-1-4-1,Fam_4,FID_13,J496.C,Lowland,2205,,
1614,2022,Tifton,Row1,Rnge14,Rep1,A-1-4-2,Fam_4,FID_14,J496.C,Lowland,1441,,
1615,2022,Tifton,Row1,Rnge15,Rep1,A-1-4-3,Fam_4,FID_15,J496.C,Lowland,2396,,
1616,2022,Tifton,Row1,Rnge16,Rep1,A-1-4-4,Fam_4,FID_16,J496.C,Lowland,4054,,
1617,2022,Tifton,Row1,Rnge17,Rep1,A-1-5-1,Fam_5,FID_17,J320.A,Lowland,3680,,
1618,2022,Tifton,Row1,Rnge18,Rep1,A-1-5-2,Fam_5,FID_18,J320.A,Lowland,1234,,
1619,2022,Tifton,Row1,Rnge19,Rep1,A-1-5-3,Fam_5,FID_19,J320.A,Lowland,2117,,
1620,2022,Tifton,Row1,Rnge20,Rep1,A-1-5-4,Fam_5,FID_20,J320.A,Lowland,2011,,
1621,2022,Tifton,Row1,Rnge21,Rep1,A-1-6-1,Fam_6,FID_21,J594.A,Lowland,1086,,
1622,2022,Tifton,Row1,Rnge22,Rep1,A-1-6-2,Fam_6,FID_22,J594.A,Lowland,759,,
1623,2022,Tifton,Row1,Rnge23,Rep1,A-1-6-3,Fam_6,FID_23,J594.A,Lowland,1098,,
1624,2022,Tifton,Row1,Rnge24,Rep1,A-1-6-4,Fam_6,FID_24,J594.A,Lowland,1416,,
1625,2022,Tifton,Row1,Rnge25,Rep1,A-1-7-1,Fam_7,FID_25,J484.A,Lowland,1316,,
1626,2022,Tifton,Row1,Rnge26,Rep1,A-1-7-2,Fam_7,FID_26,J484.A,Lowland,1271,,
1627,2022,Tifton,Row1,Rnge27,Rep1,A-1-7-3,Fam_7,FID_27,J484.A,Lowland,1407,,
1628,2022,Tifton,Row1,Rnge28,Rep1,A-1-7-4,Fam_7,FID_28,J484.A,Lowland,1040,,
1629,2022,Tifton,Row1,Rnge29,Rep1,A-1-8-1,Fam_8,FID_29,J009.C,Lowland,2659,,
1630,2022,Tifton,Row1,Rnge30,Rep1,A-1-8-2,Fam_8,FID_30,J009.C,Lowland,943,,
1631,2022,Tifton,Row1,Rnge31,Rep1,A-1-8-3,Fam_8,FID_31,J009.C,Lowland,1755,,
1632,2022,Tifton,Row1,Rnge32,Rep1,A-1-8-4,Fam_8,FID_32,J009.C,Lowland,2386,,
1633,2022,Tifton,Row2,Rnge1,Rep1,A-1-9-1,Fam_9,FID_33,J272.A,Lowland,1868,,
1634,2022,Tifton,Row2,Rnge2,Rep1,A-1-9-2,Fam_9,FID_34,J272.A,Lowland,164,,
1635,2022,Tifton,Row2,Rnge3,Rep1,A-1-9-3,Fam_9,FID_35,J272.A,Lowland,2385,,
1636,2022,Tifton,Row2,Rnge4,Rep1,A-1-9-8,Fam_9,FID_36,J272.A,Lowland,1155,,
1637,2022,Tifton,Row2,Rnge5,Rep1,A-1-10-1,Fam_10,FID_37,J324.A,Lowland,458,,
1638,2022,Tifton,Row2,Rnge6,Rep1,A-1-10-2,Fam_10,FID_38,J324.A,Lowland,1459,,
1639,2022,Tifton,Row2,Rnge7,Rep1,A-1-10-3,Fam_10,FID_39,J324.A,Lowland,1036,,
1640,2022,Tifton,Row2,Rnge8,Rep1,A-1-10-4,Fam_10,FID_40,J324.A,Lowland,1027,,
1641,2022,Tifton,Row2,Rnge9,Rep1,A-2-1-1,Fam_11,FID_41,J230.A,Lowland,1498,,
1642,2022,Tifton,Row2,Rnge10,Rep1,A-2-1-2,Fam_11,FID_42,J230.A,Lowland,379,,
1643,2022,Tifton,Row2,Rnge11,Rep1,A-2-1-3,Fam_11,FID_43,J230.A,Lowland,816,,
1644,2022,Tifton,Row2,Rnge12,Rep1,A-2-1-4,Fam_11,FID_44,J230.A,Lowland,2681,,
1645,2022,Tifton,Row2,Rnge13,Rep1,A-2-2-1,Fam_12,FID_45,J272.A,Lowland,1417,,
1646,2022,Tifton,Row2,Rnge14,Rep1,A-2-2-2,Fam_12,FID_46,J272.A,Lowland,527,,
1647,2022,Tifton,Row2,Rnge15,Rep1,A-2-2-3,Fam_12,FID_47,J272.A,Lowland,1020,,
1648,2022,Tifton,Row2,Rnge16,Rep1,A-2-2-4,Fam_12,FID_48,J272.A,Lowland,2202,,
1649,2022,Tifton,Row2,Rnge17,Rep1,A-2-3-1,Fam_13,FID_49,J514.A,Lowland,2030,,
1650,2022,Tifton,Row2,Rnge18,Rep1,A-2-3-2,Fam_13,FID_50,J514.A,Lowland,1150,,
1651,2022,Tifton,Row2,Rnge19,Rep1,A-2-3-3,Fam_13,FID_51,J514.A,Lowland,2014,,
1652,2022,Tifton,Row2,Rnge20,Rep1,A-2-3-4,Fam_13,FID_52,J514.A,Lowland,961,,
1653,2022,Tifton,Row2,Rnge21,Rep1,A-2-4-1,Fam_14,FID_53,J323.A,Lowland,1508,,
1654,2022,Tifton,Row2,Rnge22,Rep1,A-2-4-2,Fam_14,FID_54,J323.A,Lowland,3196,,
1655,2022,Tifton,Row2,Rnge23,Rep1,A-2-4-3,Fam_14,FID_55,J323.A,Lowland,606,,
1656,2022,Tifton,Row2,Rnge24,Rep1,A-2-4-4,Fam_14,FID_56,J323.A,Lowland,2197,,
1657,2022,Tifton,Row2,Rnge25,Rep1,A-2-5-1,Fam_15,FID_57,J498.B,Coastal,1648,,
1658,2022,Tifton,Row2,Rnge26,Rep1,A-2-5-2,Fam_15,FID_58,J498.B,Coastal,1273,,
1659,2022,Tifton,Row2,Rnge27,Rep1,A-2-5-3,Fam_15,FID_59,J498.B,Coastal,1789,,
1660,2022,Tifton,Row2,Rnge28,Rep1,A-2-5-4,Fam_15,FID_60,J498.B,Coastal,1243,,
1661,2022,Tifton,Row2,Rnge29,Rep1,A-2-6-1,Fam_16,FID_61,J230.A,Lowland,2066,,
1662,2022,Tifton,Row2,Rnge30,Rep1,A-2-6-2,Fam_16,FID_62,J230.A,Lowland,1327,,
1663,2022,Tifton,Row2,Rnge31,Rep1,A-2-6-3,Fam_16,FID_63,J230.A,Lowland,1842,,
1664,2022,Tifton,Row2,Rnge32,Rep1,A-2-6-4,Fam_16,FID_64,J230.A,Lowland,2911,,
1665,2022,Tifton,Row3,Rnge1,Rep1,A-2-7-1,Fam_17,FID_65,J247.A,Lowland,1171,,
1666,2022,Tifton,Row3,Rnge2,Rep1,A-2-7-2,Fam_17,FID_66,J247.A,Lowland,839,,
1667,2022,Tifton,Row3,Rnge3,Rep1,A-2-7-3,Fam_17,FID_67,J247.A,Lowland,1343,,
1668,2022,Tifton,Row3,Rnge4,Rep1,A-2-7-4,Fam_17,FID_68,J247.A,Lowland,2259,,
1669,2022,Tifton,Row3,Rnge5,Rep1,A-2-8-1,Fam_18,FID_69,J229.A,Lowland,755,,
1670,2022,Tifton,Row3,Rnge6,Rep1,A-2-8-2,Fam_18,FID_70,J229.A,Lowland,1270,,
1671,2022,Tifton,Row3,Rnge7,Rep1,A-2-8-7,Fam_18,FID_71,J229.A,Lowland,303,,
1672,2022,Tifton,Row3,Rnge8,Rep1,A-2-8-4,Fam_18,FID_72,J229.A,Lowland,975,,
1673,2022,Tifton,Row3,Rnge9,Rep1,A-2-9-5,Fam_19,FID_73,J249.C,Lowland,2723,,
1674,2022,Tifton,Row3,Rnge10,Rep1,A-2-9-6,Fam_19,FID_74,J249.C,Lowland,1390,,
1675,2022,Tifton,Row3,Rnge11,Rep1,A-2-9-3,Fam_19,FID_75,J249.C,Lowland,904,,
1676,2022,Tifton,Row3,Rnge12,Rep1,A-2-9-4,Fam_19,FID_76,J249.C,Lowland,1104,,
1677,2022,Tifton,Row3,Rnge13,Rep1,A-2-10-1,Fam_20,FID_77,J514.A,Lowland,1763,,
1678,2022,Tifton,Row3,Rnge14,Rep1,A-2-10-2,Fam_20,FID_78,J514.A,Lowland,1737,,
1679,2022,Tifton,Row3,Rnge15,Rep1,A-2-10-3,Fam_20,FID_79,J514.A,Lowland,2532,,
1680,2022,Tifton,Row3,Rnge16,Rep1,A-2-10-4,Fam_20,FID_80,J514.A,Lowland,2021,,
1681,2022,Tifton,Row3,Rnge17,Rep1,A-3-1-1,Fam_21,FID_81,J324.A,Lowland,2657,,
1682,2022,Tifton,Row3,Rnge18,Rep1,A-3-1-2,Fam_21,FID_82,J324.A,Lowland,696,,
1683,2022,Tifton,Row3,Rnge19,Rep1,A-3-1-3,Fam_21,FID_83,J324.A,Lowland,1288,,
1684,2022,Tifton,Row3,Rnge20,Rep1,A-3-1-4,Fam_21,FID_84,J324.A,Lowland,2161,,
1685,2022,Tifton,Row3,Rnge21,Rep1,A-3-2-1,Fam_22,FID_85,J219.A,Lowland,2566,,
1686,2022,Tifton,Row3,Rnge22,Rep1,A-3-2-2,Fam_22,FID_86,J219.A,Lowland,963,,
1687,2022,Tifton,Row3,Rnge23,Rep1,A-3-2-3,Fam_22,FID_87,J219.A,Lowland,1918,,
1688,2022,Tifton,Row3,Rnge24,Rep1,A-3-2-4,Fam_22,FID_88,J219.A,Lowland,1898,,
1689,2022,Tifton,Row3,Rnge25,Rep1,A-3-3-1,Fam_23,FID_89,J594.A,Lowland,1949,,
1690,2022,Tifton,Row3,Rnge26,Rep1,A-3-3-2,Fam_23,FID_90,J594.A,Lowland,649,,
1691,2022,Tifton,Row3,Rnge27,Rep1,A-3-3-3,Fam_23,FID_91,J594.A,Lowland,1468,,
1692,2022,Tifton,Row3,Rnge28,Rep1,A-3-3-4,Fam_23,FID_92,J594.A,Lowland,245,,
1693,2022,Tifton,Row3,Rnge29,Rep1,A-3-4-1,Fam_24,FID_93,B6,Coastal,2582,,
1694,2022,Tifton,Row3,Rnge30,Rep1,A-3-4-2,Fam_24,FID_94,B6,Coastal,1402,,
1695,2022,Tifton,Row3,Rnge31,Rep1,A-3-4-3,Fam_24,FID_95,B6,Coastal,2706,,
1696,2022,Tifton,Row3,Rnge32,Rep1,A-3-4-4,Fam_24,FID_96,B6,Coastal,2464,,
1697,2022,Tifton,Row4,Rnge1,Rep1,A-3-5-1,Fam_25,FID_97,J215.A,Lowland,1271,,
1698,2022,Tifton,Row4,Rnge2,Rep1,A-3-5-2,Fam_25,FID_98,J215.A,Lowland,1310,,
1699,2022,Tifton,Row4,Rnge3,Rep1,A-3-5-3,Fam_25,FID_99,J215.A,Lowland,2134,,
1700,2022,Tifton,Row4,Rnge4,Rep1,A-3-5-4,Fam_25,FID_100,J215.A,Lowland,839,,
1701,2022,Tifton,Row4,Rnge5,Rep1,A-3-6-1,Fam_26,FID_101,J499.A,Coastal,2139,,
1702,2022,Tifton,Row4,Rnge6,Rep1,A-3-6-2,Fam_26,FID_102,J499.A,Coastal,1549,,
1703,2022,Tifton,Row4,Rnge7,Rep1,A-3-6-7,Fam_26,FID_103,J499.A,Coastal,1710,,
1704,2022,Tifton,Row4,Rnge8,Rep1,A-3-6-4,Fam_26,FID_104,J499.A,Coastal,750,,
1705,2022,Tifton,Row4,Rnge9,Rep1,A-3-7-1,Fam_27,FID_105,J219.A,Lowland,1551,,
1706,2022,Tifton,Row4,Rnge10,Rep1,A-3-7-2,Fam_27,FID_106,J219.A,Lowland,1985,,
1707,2022,Tifton,Row4,Rnge11,Rep1,A-3-7-3,Fam_27,FID_107,J219.A,Lowland,1040,,
1708,2022,Tifton,Row4,Rnge12,Rep1,A-3-7-4,Fam_27,FID_108,J219.A,Lowland,2087,,
1709,2022,Tifton,Row4,Rnge13,Rep1,A-3-8-1,Fam_28,FID_109,J308.A,Lowland,995,,
1710,2022,Tifton,Row4,Rnge14,Rep1,A-3-8-2,Fam_28,FID_110,J308.A,Lowland,1576,,
1711,2022,Tifton,Row4,Rnge15,Rep1,A-3-8-3,Fam_28,FID_111,J308.A,Lowland,1756,,
1712,2022,Tifton,Row4,Rnge16,Rep1,A-3-8-8,Fam_28,FID_112,J308.A,Lowland,461,,
1713,2022,Tifton,Row4,Rnge17,Rep1,A-3-9-1,Fam_29,FID_113,TCL-7,Unknown,953,,
1714,2022,Tifton,Row4,Rnge18,Rep1,A-3-9-2,Fam_29,FID_114,TCL-7,Unknown,1001,,
1715,2022,Tifton,Row4,Rnge19,Rep1,A-3-9-3,Fam_29,FID_115,TCL-7,Unknown,918,,
1716,2022,Tifton,Row4,Rnge20,Rep1,A-3-9-4,Fam_29,FID_116,TCL-7,Unknown,189,,
1717,2022,Tifton,Row4,Rnge21,Rep1,A-3-10-1,Fam_30,FID_117,J320.A,Lowland,1835,,
1718,2022,Tifton,Row4,Rnge22,Rep1,A-3-10-2,Fam_30,FID_118,J320.A,Lowland,2358,,
1719,2022,Tifton,Row4,Rnge23,Rep1,A-3-10-3,Fam_30,FID_119,J320.A,Lowland,2462,,
1720,2022,Tifton,Row4,Rnge24,Rep1,A-3-10-4,Fam_30,FID_120,J320.A,Lowland,1548,,
1721,2022,Tifton,Row4,Rnge25,Rep1,A-4-1-5,Fam_31,FID_121,J004.B,Lowland,924,,
1722,2022,Tifton,Row4,Rnge26,Rep1,A-4-1-2,Fam_31,FID_122,J004.B,Lowland,556,,
1723,2022,Tifton,Row4,Rnge27,Rep1,A-4-1-3,Fam_31,FID_123,J004.B,Lowland,1939,,
1724,2022,Tifton,Row4,Rnge28,Rep1,A-4-1-4,Fam_31,FID_124,J004.B,Lowland,957,,
1725,2022,Tifton,Row4,Rnge29,Rep1,A-4-2-1,Fam_32,FID_125,J229.A,Lowland,1458,,
1726,2022,Tifton,Row4,Rnge30,Rep1,A-4-2-2,Fam_32,FID_126,J229.A,Lowland,172,,
1727,2022,Tifton,Row4,Rnge31,Rep1,A-4-2-3,Fam_32,FID_127,J229.A,Lowland,942,,
1728,2022,Tifton,Row4,Rnge32,Rep1,A-4-2-4,Fam_32,FID_128,J229.A,Lowland,116,,
1729,2022,Tifton,Row5,Rnge1,Rep1,A-4-3-1,Fam_33,FID_129,Rambo4,Unknown,749,,
1730,2022,Tifton,Row5,Rnge2,Rep1,A-4-3-2,Fam_33,FID_130,Rambo4,Unknown,2336,,
1731,2022,Tifton,Row5,Rnge3,Rep1,A-4-3-3,Fam_33,FID_131,Rambo4,Unknown,1325,,
1732,2022,Tifton,Row5,Rnge4,Rep1,A-4-3-4,Fam_33,FID_132,Rambo4,Unknown,1848,,
1733,2022,Tifton,Row5,Rnge5,Rep1,A-4-4-1,Fam_34,FID_133,J308.A,Lowland,976,,
1734,2022,Tifton,Row5,Rnge6,Rep1,A-4-4-2,Fam_34,FID_134,J308.A,Lowland,426,,
1735,2022,Tifton,Row5,Rnge7,Rep1,A-4-4-3,Fam_34,FID_135,J308.A,Lowland,923,,
